ApiKey,PK_AKE_ApiKeys,FK_AKE_ApiKeys_APP_Applications,ApiKeyId
ApiKey,PK_AKE_ApiKeys,FK_AKE_ApiKeys_USA_UserAccounts1,ApiKeyId
ApiKey,PK_AKE_ApiKeys,FK_ApiKey_USE_Users,ApiKeyId
ApiRequestLog,PK_ApiRequest,FK_ApiRequest_UserAccount,ApiRequesLogtId
Application,PK_APP_Applications,NULL,ApplicationId
CLI_Clients,PK_CLI_Clients,FK_CLI_Clients_SER_Servers,CLI_cID
Company,PK_USC_Company,NULL,CompanyId
CSE_ClientSensors,PK_CSE_ClientSensors,FK_CSE_ClientSensors_CLI_Clients,CSE_cID
DON_DomainName,PK_DON_DomainName,FK_DON_DomainName_CLI_Clients,DON_lID
FDC_FormDefinitionVersionClients,PK_FDC_FormDefinitionVersionClients,FK_FDC_FormDefinitionVersionClients_CLI_Clients,FDC_iID
FDC_FormDefinitionVersionClients,PK_FDC_FormDefinitionVersionClients,FK_FDC_FormDefinitionVersionClients_FOD_FormDefinitions,FDC_iID
FDV_FormDefinitionVersions,PK_FDV_FormDefinitionVersions,FK_FDV_FormDefinitionVersions_FOD_FormDefinitions,FDV_cID
FOD_FormDefinitions,PK_FOD_FormDefinitions,NULL,FOD_cID
FST_FormSyncTasks,PK_FST_FormSyncTasks,FK_FST_FormSyncTasks_CLI_Clients,FST_iID
FST_FormSyncTasks,PK_FST_FormSyncTasks,FK_FST_FormSyncTasks_FDC_FormDefinitionVersionClients,FST_iID
FST_FormSyncTasks,PK_FST_FormSyncTasks,FK_FST_FormSyncTasks_FDV_FormDefinitionVersions,FST_iID
FST_FormSyncTasks,PK_FST_FormSyncTasks,FK_FST_FormSyncTasks_FOD_FormDefinitions,FST_iID
HFD_HistoryFormDefinitionVersions,PK_HFD_HistoryFormDefinitionVersions,FK_HFD_HistoryFormDefinitionVersions_FDV_FormDefinitionVersions,HFD_iNoSeq
IPS_IpServers,PK_IPS_IpServers,NULL,IPS_iID
KitTemplate,PK_KitTemplate,NULL,KitTemplateId
KitTemplateAttribute,PK_KitTemplateAttribute,FK_KitTemplateAttribute_KitTemplate,KitTemplateAttributeId
KitTemplateMeasureDefinition,PK_KitTemplateMeasureDefinition,FK_KitTemplateMeasureDefinition_FOD_FormDefinitions,KitTemplateMeasureDefinitionId
KitTemplateMeasureDefinition,PK_KitTemplateMeasureDefinition,FK_KitTemplateMeasureDefinition_KitTemplate,KitTemplateMeasureDefinitionId
LOE_LogExceptions,PK_LOE_LogExceptions,NULL,LOE_iNoSeq
PRE_Preferences,PK_PRE_Preferences,NULL,PRE_iID
Right,PK_RIG_Rights,FK_RIG_Rights_UAG_UserAccountGroups,RightId
Right,PK_RIG_Rights,FK_Right_RightAction,RightId
RightAction,PK_RIA_RightActions,NULL,RightActionId
SER_Servers,PK_SER_Servers,NULL,SER_cID
UNO_UserNotices,PK_UNO_UserNotices,NULL,UNO_cID
USE_Users,PK_USE_Users,FK_USE_Users_CLI_Clients,USE_cID
USE_Users,PK_USE_Users,FK_USE_Users_UNO_UserNotices,USE_cID
UserAccount,PK_UserAccount_UserAccountid,FK_USA_UserAccounts_UAG_UserAccountGroups,UserAccountId
UserAccount,PK_UserAccount_UserAccountid,FK_USA_UserAccounts_USC_Company,UserAccountId
UserAccountClient,PK_UAC_UserAccountClients,FK_UAC_UserAccountClients_CLI_Clients,UserAccountClientId
UserAccountClient,PK_UAC_UserAccountClients,FK_UAC_UserAccountClients_USA_UserAccounts,UserAccountClientId
UserAccountGroup,PK_UAG_UserAccountGroups,NULL,UserAccountGroupId
VER_Versions,PK_VER_Versions,NULL,VER_cID
